idade,tempo_cliente_meses,genero,tipo_contrato,tipo_internet,valor_mensal,valor_total,num_servicos_extra,suporte_tecnico,pagamento_automatico,forma_pagamento,num_reclamacoes_12m,atrasos_pagamento_12m,uso_dados_gb,churn
33,47,M,bianual,dsl,115.8,4829.09,7,sim,sim,pix,0,1,39.7,0
75,63,F,anual,fibra,126.6,7982.23,4,sim,nao,debito_automatico,1,2,117.6,0
65,53,F,anual,fibra,132.71,7264.06,6,nao,nao,debito_automatico,2,1,94.7,1
45,45,M,anual,fibra,79.57,3197.53,0,sim,sim,boleto,2,1,35.1,0
27,7,F,mensal,fibra,101.4,668.75,2,nao,sim,cartao_credito,2,0,27.0,1
39,54,F,bianual,fibra,103.25,4911.79,1,sim,nao,cartao_credito,2,1,25.9,0
54,55,F,bianual,fibra,113.11,5882.63,2,nao,sim,cartao_credito,0,0,152.2,0
65,36,M,mensal,nenhuma,51.82,1825.42,3,sim,sim,boleto,1,2,35.6,0
34,42,M,anual,nenhuma,58.61,2101.51,3,sim,sim,boleto,3,0,69.1,0
64,45,M,bianual,nenhuma,54.83,2414.51,2,nao,sim,boleto,1,1,111.8,0
35,9,F,mensal,fibra,118.13,1039.73,4,sim,sim,boleto,2,0,107.4,0
33,19,F,anual,dsl,74.89,1338.96,1,nao,nao,pix,0,2,107.5,0
45,58,F,mensal,dsl,68.92,4113.61,2,nao,nao,cartao_credito,0,0,31.8,1
27,71,M,mensal,fibra,146.16,9100.57,6,sim,sim,debito_automatico,1,4,113.2,0
43,20,F,anual,nenhuma,62.67,1078.25,4,nao,nao,debito_automatico,2,1,66.8,0
40,29,F,mensal,dsl,39.18,1078.46,0,nao,nao,cartao_credito,1,0,88.6,0
35,66,F,bianual,fibra,98.27,6204.38,2,sim,sim,boleto,2,1,85.5,0
66,12,M,bianual,nenhuma,63.23,685.42,6,sim,nao,debito_automatico,0,3,76.1,0
38,19,F,mensal,fibra,83.74,1658.4,1,sim,sim,debito_automatico,4,0,164.0,0
61,5,M,mensal,fibra,153.03,689.21,7,sim,sim,boleto,2,1,149.3,1
62,17,M,bianual,fibra,122.55,1883.42,2,sim,nao,cartao_credito,2,0,440.8,0
59,46,F,anual,fibra,127.94,5957.02,5,nao,nao,debito_automatico,1,0,212.0,0
34,26,M,bianual,nenhuma,55.83,1501.75,3,sim,nao,pix,1,3,18.9,0
69,71,M,anual,dsl,106.88,7263.91,5,nao,sim,pix,0,1,81.7,0
32,65,F,bianual,fibra,139.67,7751.36,6,nao,sim,cartao_credito,2,1,200.7,0
35,65,F,bianual,dsl,62.8,3759.88,1,sim,sim,debito_automatico,2,1,74.3,0
72,53,M,anual,nenhuma,39.03,1850.95,2,nao,sim,boleto,0,2,62.8,0
39,51,F,bianual,nenhuma,61.3,2976.87,4,sim,sim,boleto,3,1,30.8,0
61,37,M,bianual,nenhuma,48.0,1752.05,2,sim,sim,pix,2,1,28.0,0
20,72,M,bianual,nenhuma,52.69,3522.38,3,nao,nao,boleto,1,2,140.9,0
56,7,M,mensal,dsl,114.42,766.88,7,nao,sim,boleto,1,0,89.9,0
71,53,F,anual,fibra,97.59,5182.47,1,sim,sim,pix,1,3,8.9,0
61,11,M,mensal,nenhuma,20.26,200.4,1,nao,sim,pix,1,3,171.4,0
54,25,M,bianual,fibra,129.18,2871.65,4,nao,nao,debito_automatico,1,1,187.5,0
70,19,F,mensal,fibra,79.72,1531.53,0,nao,sim,boleto,0,1,70.0,1
36,44,F,mensal,fibra,94.96,3582.44,0,nao,sim,cartao_credito,0,1,82.9,0
41,57,F,bianual,fibra,144.05,7226.53,6,nao,sim,cartao_credito,0,1,216.1,0
22,6,F,mensal,dsl,61.88,316.51,2,nao,sim,boleto,1,1,67.8,0
61,44,M,bianual,nenhuma,20.14,851.67,0,nao,sim,cartao_credito,1,1,15.3,0
62,16,M,mensal,fibra,146.97,2281.01,5,nao,nao,boleto,0,2,141.7,1
64,6,F,mensal,dsl,78.36,449.57,3,nao,sim,boleto,3,3,183.0,0
64,31,F,mensal,fibra,104.24,3014.46,3,sim,sim,boleto,0,0,93.2,1
25,42,M,anual,dsl,85.41,3428.69,3,sim,sim,cartao_credito,0,3,35.5,0
59,15,M,anual,fibra,91.82,1224.13,1,sim,sim,boleto,2,0,200.1,0
65,29,M,mensal,fibra,122.64,3610.79,6,sim,nao,cartao_credito,1,3,59.9,0
30,69,M,anual,dsl,59.16,4270.44,0,sim,nao,pix,1,1,41.5,0
47,25,F,mensal,dsl,71.67,1716.72,3,nao,sim,cartao_credito,2,0,92.1,1
74,72,F,bianual,fibra,108.57,7229.75,2,nao,nao,debito_automatico,0,0,69.2,0
43,61,M,anual,fibra,123.5,7596.45,5,sim,sim,boleto,0,0,133.0,0
64,27,F,mensal,fibra,127.66,3062.89,4,sim,sim,debito_automatico,1,1,320.8,0
50,42,F,anual,dsl,80.47,3089.61,3,nao,sim,debito_automatico,2,1,39.3,0
58,52,M,anual,fibra,101.29,5467.21,4,nao,nao,debito_automatico,1,1,148.5,0
56,34,M,anual,fibra,101.06,3048.66,1,nao,nao,debito_automatico,0,1,66.9,0
58,30,F,anual,nenhuma,30.68,802.98,1,nao,sim,cartao_credito,1,1,132.4,0
66,24,M,bianual,dsl,122.33,2816.34,7,nao,nao,cartao_credito,0,1,94.8,0
74,11,F,mensal,fibra,125.16,1331.99,4,sim,sim,pix,2,1,57.5,1
36,2,F,anual,dsl,101.05,195.92,5,sim,sim,boleto,1,2,151.6,0
75,25,F,anual,fibra,140.32,3097.2,7,nao,sim,pix,2,1,62.6,0
56,58,F,mensal,fibra,139.68,8054.69,7,sim,sim,pix,1,2,42.4,1
54,17,F,bianual,dsl,86.79,1325.61,4,sim,sim,cartao_credito,1,0,144.5,0
38,13,F,anual,fibra,135.12,1826.16,6,sim,nao,cartao_credito,1,1,42.2,0
43,24,M,anual,fibra,132.7,2852.28,4,nao,sim,pix,0,1,140.1,0
58,44,F,anual,nenhuma,31.77,1193.04,1,nao,sim,pix,0,1,87.2,0
40,16,F,mensal,dsl,77.2,1190.2,4,nao,sim,debito_automatico,1,2,91.4,0
35,16,F,anual,nenhuma,74.38,1059.85,7,nao,sim,pix,2,1,37.9,0
68,9,F,mensal,nenhuma,88.72,779.09,7,sim,sim,cartao_credito,1,0,94.7,0
43,24,M,anual,fibra,120.66,2594.22,4,nao,sim,cartao_credito,2,0,59.1,0
57,16,F,anual,dsl,109.23,1635.16,7,nao,sim,boleto,1,1,222.7,0
19,60,F,bianual,fibra,106.48,5659.86,1,sim,sim,boleto,0,0,27.4,0
22,66,F,anual,dsl,47.68,2944.73,0,nao,sim,debito_automatico,1,1,175.5,0
70,27,F,mensal,fibra,96.12,2276.81,3,sim,nao,pix,1,1,185.1,1
26,7,F,mensal,fibra,91.18,585.66,1,nao,nao,debito_automatico,0,1,116.4,1
67,7,F,anual,fibra,147.94,921.44,7,sim,sim,boleto,0,2,214.8,0
73,24,M,anual,dsl,53.0,1288.82,0,sim,nao,cartao_credito,1,0,70.0,0
47,34,M,bianual,fibra,109.52,3708.3,4,nao,nao,boleto,2,1,77.1,0
72,39,F,bianual,dsl,111.13,3828.56,6,nao,nao,cartao_credito,3,0,122.0,0
44,22,F,anual,nenhuma,26.31,501.59,0,sim,nao,cartao_credito,1,2,71.9,0
77,26,F,anual,dsl,58.11,1292.01,0,nao,sim,boleto,0,2,10.8,0
32,21,M,bianual,fibra,125.36,2357.02,4,nao,nao,boleto,1,1,27.8,1
44,38,M,bianual,fibra,135.61,4875.09,7,sim,sim,cartao_credito,1,0,30.5,0
42,51,M,bianual,nenhuma,27.42,1300.5,0,nao,sim,pix,0,0,146.0,0
66,4,F,mensal,dsl,62.26,260.07,0,nao,nao,pix,1,1,83.1,0
20,35,F,anual,fibra,155.12,5475.07,7,nao,nao,cartao_credito,2,1,138.0,1
69,47,F,mensal,nenhuma,62.77,2553.79,4,nao,sim,pix,0,0,153.1,0
19,49,M,mensal,fibra,134.11,5794.56,5,nao,nao,cartao_credito,1,2,70.7,1
37,41,F,bianual,fibra,92.1,3229.77,2,nao,nao,boleto,0,1,103.6,0
54,38,F,bianual,fibra,105.88,3531.15,2,nao,nao,pix,1,2,26.8,0
27,50,M,anual,fibra,106.35,5082.91,3,sim,nao,boleto,2,1,50.5,0
48,28,F,mensal,fibra,108.26,2623.11,1,sim,nao,pix,0,1,68.3,0
79,41,F,bianual,dsl,88.04,3111.41,3,nao,sim,boleto,0,0,85.0,0
69,24,M,mensal,fibra,138.4,2901.86,7,nao,nao,cartao_credito,0,0,22.5,1
19,32,M,mensal,dsl,94.63,2979.35,5,sim,sim,boleto,1,3,68.9,0
54,9,F,anual,dsl,104.99,806.83,6,sim,nao,cartao_credito,0,2,42.6,0
55,26,F,bianual,nenhuma,56.21,1525.65,3,sim,nao,cartao_credito,1,0,300.4,0
22,11,F,mensal,fibra,124.6,1269.39,6,sim,nao,boleto,1,1,88.9,1
58,17,F,anual,dsl,61.32,956.25,3,sim,sim,cartao_credito,2,0,137.3,0
50,31,M,mensal,fibra,122.31,3582.93,4,nao,sim,boleto,1,0,137.5,1
60,37,F,anual,dsl,74.75,2637.34,5,sim,sim,boleto,1,0,93.7,0
36,68,F,bianual,fibra,139.27,8845.34,6,nao,sim,debito_automatico,1,0,112.7,0
33,2,M,anual,dsl,115.74,219.27,7,nao,nao,debito_automatico,2,1,105.1,0
63,65,F,anual,fibra,99.89,5960.09,0,nao,nao,pix,1,2,105.2,0
62,24,M,mensal,dsl,98.02,2151.11,6,nao,nao,debito_automatico,0,2,201.5,1
28,53,M,anual,fibra,131.29,5952.63,5,nao,sim,boleto,0,1,86.5,0
31,49,M,mensal,fibra,135.21,6521.67,5,nao,nao,pix,3,1,40.9,1
54,70,F,anual,dsl,45.59,3106.59,0,nao,nao,debito_automatico,2,2,140.9,0
69,8,M,mensal,fibra,121.32,954.8,3,sim,nao,debito_automatico,1,0,33.6,1
30,70,M,bianual,dsl,113.19,8226.06,7,nao,sim,debito_automatico,0,1,76.6,0
31,5,F,mensal,dsl,106.16,501.4,7,nao,nao,debito_automatico,1,2,57.2,1
68,64,M,bianual,dsl,64.13,4212.49,1,nao,sim,boleto,4,1,70.9,0
61,47,F,bianual,dsl,77.89,3436.75,3,sim,sim,debito_automatico,1,0,119.0,0
73,35,F,bianual,dsl,109.24,3615.11,6,sim,nao,boleto,2,0,112.1,0
66,29,M,bianual,nenhuma,78.12,2212.45,7,nao,nao,cartao_credito,2,0,71.4,0
77,7,M,mensal,fibra,107.82,674.12,2,sim,sim,cartao_credito,0,1,51.7,0
29,58,F,mensal,dsl,98.03,5080.05,6,sim,nao,boleto,0,0,157.5,0
34,53,M,bianual,dsl,95.5,4818.38,6,nao,nao,cartao_credito,1,0,124.0,0
32,68,M,mensal,fibra,99.37,5836.31,1,nao,nao,cartao_credito,1,3,22.1,1
21,53,F,anual,fibra,82.83,3939.28,0,sim,sim,boleto,0,1,25.0,0
66,69,F,mensal,fibra,96.4,6709.35,0,sim,sim,pix,2,1,56.7,0
59,64,F,bianual,dsl,67.74,4087.15,1,nao,nao,cartao_credito,0,1,14.5,0
23,31,F,mensal,fibra,123.88,3284.69,5,nao,nao,boleto,3,0,28.7,0
30,51,F,anual,dsl,80.71,3548.78,3,nao,sim,pix,3,0,95.9,0
29,20,F,anual,dsl,88.84,1837.04,5,nao,sim,debito_automatico,1,2,111.5,0
42,58,F,bianual,dsl,42.17,2546.98,0,sim,sim,pix,2,3,74.8,0
46,44,F,anual,fibra,117.22,5045.35,4,nao,sim,cartao_credito,3,2,74.8,0
35,32,F,bianual,dsl,94.6,2685.09,5,nao,nao,debito_automatico,1,0,58.2,0
75,46,F,bianual,dsl,115.17,4893.16,7,nao,sim,debito_automatico,0,1,47.6,0
31,20,M,anual,fibra,107.2,1953.38,2,nao,sim,boleto,1,2,134.9,0
52,45,F,anual,fibra,129.26,5857.6,4,sim,sim,cartao_credito,0,0,142.2,0
45,35,F,bianual,fibra,106.15,3557.05,3,sim,nao,boleto,1,1,72.8,1
42,24,M,anual,nenhuma,37.99,917.17,2,nao,sim,debito_automatico,1,2,29.5,0
69,71,M,anual,fibra,143.15,9371.92,5,sim,sim,debito_automatico,1,1,47.8,0
78,5,F,mensal,fibra,106.55,545.48,4,nao,nao,debito_automatico,1,1,78.4,1
18,55,M,mensal,fibra,134.38,6916.64,6,nao,nao,debito_automatico,1,0,72.6,0
46,16,M,mensal,fibra,81.43,1216.21,0,sim,sim,pix,0,0,126.0,0
25,17,M,mensal,fibra,96.44,1553.93,1,nao,sim,cartao_credito,1,1,45.5,1
44,12,M,mensal,dsl,83.52,970.53,4,nao,nao,cartao_credito,1,0,115.5,0
56,8,F,mensal,fibra,126.82,1043.8,4,nao,sim,cartao_credito,1,1,80.2,0
43,9,M,anual,dsl,113.04,957.9,7,sim,nao,cartao_credito,1,0,292.8,1
37,60,M,bianual,fibra,119.56,7432.05,5,sim,nao,cartao_credito,2,0,77.0,0
37,67,F,bianual,fibra,85.29,5307.18,0,sim,sim,boleto,0,0,49.8,0
36,43,M,bianual,dsl,79.0,3107.96,3,sim,nao,debito_automatico,1,1,195.3,0
38,1,M,mensal,dsl,108.92,99.01,6,nao,nao,cartao_credito,1,2,72.9,1
41,63,F,mensal,nenhuma,92.46,4975.88,6,sim,sim,debito_automatico,2,1,111.4,0
60,44,F,bianual,fibra,143.62,6444.58,6,sim,sim,debito_automatico,2,1,16.8,0
23,38,F,anual,dsl,70.9,2332.76,3,nao,nao,cartao_credito,0,0,166.9,0
20,69,F,bianual,dsl,54.25,3432.06,0,sim,nao,cartao_credito,1,1,47.8,0
50,30,F,bianual,fibra,99.45,2685.42,1,sim,sim,boleto,0,3,32.7,0
60,26,M,bianual,dsl,98.84,2566.98,6,nao,sim,debito_automatico,1,1,146.6,0
34,57,F,anual,fibra,109.76,6484.78,2,nao,nao,pix,2,1,44.0,0
30,38,F,bianual,fibra,119.83,4614.29,6,sim,sim,cartao_credito,2,0,38.5,0
56,52,M,mensal,dsl,59.43,2824.59,0,nao,sim,pix,1,0,28.5,0
41,51,F,mensal,dsl,75.19,3609.02,3,nao,sim,debito_automatico,1,0,56.8,0
63,61,M,mensal,nenhuma,80.12,4395.69,7,sim,nao,cartao_credito,1,0,44.0,0
27,23,F,mensal,nenhuma,44.73,1064.59,1,sim,nao,pix,0,1,134.1,0
25,6,F,mensal,fibra,79.91,418.93,0,nao,sim,boleto,0,5,46.7,1
52,35,F,anual,dsl,73.18,2664.75,2,sim,sim,cartao_credito,0,0,53.8,0
42,47,M,mensal,nenhuma,31.35,1492.21,0,nao,nao,debito_automatico,1,0,50.4,0
63,59,F,bianual,fibra,123.36,7222.31,4,sim,nao,cartao_credito,0,0,118.7,0
49,20,F,anual,fibra,85.09,1709.97,1,sim,sim,debito_automatico,4,2,142.3,1
39,54,M,anual,nenhuma,43.8,2170.94,1,nao,sim,pix,1,0,79.4,0
27,60,M,bianual,fibra,120.31,6562.99,4,nao,nao,cartao_credito,2,1,76.6,0
28,59,F,bianual,nenhuma,36.78,2010.06,2,sim,sim,pix,0,1,87.3,0
64,59,M,anual,fibra,127.52,6668.41,5,sim,sim,cartao_credito,3,1,92.6,0
32,72,F,bianual,nenhuma,77.94,5607.59,7,nao,nao,cartao_credito,1,0,126.1,0
49,48,F,bianual,dsl,101.48,4603.18,7,nao,nao,cartao_credito,1,3,120.7,0
68,27,M,mensal,dsl,96.32,2671.28,5,nao,sim,debito_automatico,1,1,36.2,0
73,32,F,anual,dsl,106.22,3486.31,7,sim,nao,debito_automatico,2,1,11.6,0
34,54,M,mensal,fibra,135.37,6441.34,5,nao,nao,cartao_credito,0,0,97.4,1
24,18,F,bianual,dsl,59.14,951.43,0,sim,nao,boleto,3,1,27.2,0
66,44,F,anual,nenhuma,94.01,3855.69,7,sim,nao,debito_automatico,1,0,109.5,0
60,42,M,anual,nenhuma,55.31,2029.77,4,sim,nao,pix,1,1,91.9,0
38,48,F,bianual,nenhuma,20.0,948.37,0,sim,sim,cartao_credito,0,2,76.5,0
54,31,F,anual,dsl,75.24,2326.65,4,nao,sim,boleto,1,2,65.8,0
29,54,F,mensal,dsl,80.55,4324.78,1,sim,sim,boleto,1,1,139.9,0
61,6,M,mensal,dsl,92.3,522.81,4,nao,sim,cartao_credito,2,2,115.2,1
63,54,F,anual,dsl,89.46,4920.9,5,sim,nao,boleto,0,1,33.7,0
36,59,F,bianual,dsl,68.55,3927.85,0,sim,sim,pix,0,0,94.2,0
47,64,M,anual,fibra,124.85,8379.71,3,nao,nao,pix,3,0,85.1,0
38,67,F,anual,fibra,79.19,5375.17,0,nao,nao,boleto,1,1,169.9,1
19,26,M,anual,dsl,48.97,1266.16,0,sim,sim,pix,0,1,186.1,0
25,4,F,mensal,fibra,96.94,339.16,1,sim,nao,boleto,1,3,81.2,1
77,48,M,mensal,fibra,129.44,6315.76,6,nao,nao,debito_automatico,1,1,279.2,1
46,7,F,anual,fibra,113.23,722.16,3,nao,nao,cartao_credito,1,0,44.1,1
27,21,M,mensal,dsl,60.7,1190.29,0,nao,nao,boleto,0,0,21.1,1
20,51,M,bianual,nenhuma,54.01,2596.27,5,nao,sim,boleto,0,1,199.4,0
39,43,F,bianual,dsl,89.34,3519.93,4,sim,sim,boleto,1,0,39.3,0
78,44,F,mensal,nenhuma,42.35,1624.3,1,nao,sim,pix,1,0,22.2,0
41,55,F,bianual,nenhuma,60.2,2946.37,4,sim,sim,boleto,1,0,41.8,0
79,12,F,anual,fibra,97.4,1181.3,1,sim,sim,boleto,1,1,53.5,1
48,57,M,bianual,fibra,124.66,6966.73,5,nao,nao,boleto,3,1,12.6,0
65,43,F,bianual,fibra,152.65,6817.11,7,sim,nao,pix,5,1,63.0,0
66,31,M,mensal,fibra,96.58,3036.54,2,nao,sim,pix,0,1,49.5,1
19,34,M,mensal,dsl,96.94,3066.71,5,sim,sim,debito_automatico,2,1,83.6,1
18,37,F,bianual,fibra,90.2,3361.57,0,nao,sim,debito_automatico,1,0,6.4,0
75,40,F,mensal,nenhuma,58.0,2239.46,3,nao,sim,pix,0,2,67.0,0
75,25,M,mensal,dsl,106.34,2411.95,7,nao,sim,cartao_credito,1,5,312.7,1
26,17,M,anual,fibra,86.02,1528.17,0,nao,sim,debito_automatico,1,0,152.1,1
58,13,F,mensal,nenhuma,71.07,956.89,7,sim,nao,cartao_credito,2,2,24.1,0
75,25,M,anual,nenhuma,28.5,621.61,0,nao,nao,pix,0,0,44.3,0
76,19,M,bianual,dsl,75.61,1462.28,3,nao,sim,debito_automatico,1,0,55.3,0
36,38,M,bianual,dsl,56.1,1845.15,1,nao,nao,cartao_credito,2,1,194.8,0
68,66,M,mensal,nenhuma,20.0,1367.21,0,sim,nao,cartao_credito,2,1,63.8,0
58,8,M,mensal,dsl,75.3,587.24,2,sim,sim,cartao_credito,2,1,56.3,1
75,23,F,bianual,nenhuma,48.18,978.84,4,sim,sim,debito_automatico,1,1,27.6,0
27,4,M,mensal,fibra,121.89,494.12,5,nao,sim,boleto,2,1,56.6,1
55,71,F,bianual,dsl,78.17,5290.08,2,nao,sim,debito_automatico,2,2,62.2,0
19,51,F,bianual,dsl,77.67,3414.17,3,nao,sim,cartao_credito,3,0,89.0,0
40,18,F,mensal,fibra,105.64,1919.94,1,nao,nao,cartao_credito,0,2,40.0,0
18,30,F,mensal,fibra,127.13,3843.14,5,nao,sim,cartao_credito,2,0,28.0,1
45,53,F,bianual,fibra,97.99,4915.16,1,nao,sim,debito_automatico,1,2,27.2,0
68,69,F,mensal,fibra,139.25,9571.95,6,sim,sim,cartao_credito,0,1,155.1,0
58,42,F,bianual,fibra,109.1,3931.66,1,nao,sim,debito_automatico,0,0,172.0,0
37,20,F,anual,fibra,140.45,2566.36,5,nao,sim,pix,0,0,156.9,0
44,51,F,mensal,dsl,80.23,4028.9,2,sim,sim,debito_automatico,1,1,57.1,0
40,50,F,bianual,dsl,105.97,4748.1,7,sim,sim,boleto,0,1,151.1,0
63,47,M,anual,dsl,63.11,2788.44,2,sim,sim,boleto,2,0,136.7,0
34,4,F,mensal,fibra,152.09,630.5,7,nao,nao,cartao_credito,0,2,107.0,1
23,51,F,bianual,dsl,114.01,5903.76,6,sim,sim,boleto,2,0,60.9,0
49,2,M,anual,fibra,123.3,237.13,3,sim,nao,boleto,0,3,107.1,1
69,66,F,bianual,fibra,114.1,7269.61,3,sim,nao,cartao_credito,4,2,24.7,0
47,64,M,bianual,dsl,76.82,5051.2,2,nao,sim,debito_automatico,0,0,141.3,0
30,41,M,bianual,nenhuma,54.96,2304.31,3,nao,sim,cartao_credito,2,3,9.3,0
20,47,F,anual,nenhuma,50.19,2046.75,3,nao,nao,cartao_credito,0,2,61.3,0
76,5,M,mensal,dsl,64.54,304.34,1,nao,sim,pix,0,1,70.5,0
65,63,M,anual,dsl,71.79,4016.99,2,sim,nao,boleto,4,0,58.8,0
27,20,M,anual,dsl,104.7,1814.75,7,sim,nao,cartao_credito,1,1,143.3,1
22,19,F,anual,dsl,105.51,1821.22,7,nao,sim,debito_automatico,0,0,25.3,0
26,51,M,bianual,fibra,84.39,4183.94,0,nao,sim,cartao_credito,4,3,34.9,0
41,68,F,anual,fibra,117.21,8041.01,5,nao,nao,boleto,0,1,84.0,0
68,36,F,bianual,nenhuma,34.14,1268.98,1,sim,nao,cartao_credito,0,0,18.8,0
27,37,F,bianual,nenhuma,64.68,2236.63,5,nao,sim,cartao_credito,1,0,55.3,0
68,40,F,bianual,fibra,128.1,4788.2,4,sim,nao,boleto,1,1,206.7,0
18,21,F,mensal,fibra,156.09,2886.68,7,nao,sim,debito_automatico,2,0,140.3,1
63,43,M,bianual,fibra,140.59,5374.14,5,nao,nao,boleto,1,2,231.1,1
35,70,F,bianual,fibra,149.35,9100.63,6,nao,nao,cartao_credito,2,2,77.8,1
77,28,F,mensal,fibra,131.94,3861.23,6,nao,sim,cartao_credito,2,1,147.4,1
47,56,M,anual,dsl,83.54,4095.89,5,nao,sim,debito_automatico,3,0,153.3,0
34,56,M,anual,fibra,121.45,6810.24,3,nao,sim,cartao_credito,1,1,19.4,1
33,62,F,bianual,fibra,117.06,6630.31,2,nao,nao,boleto,0,0,46.8,0
69,53,M,bianual,fibra,118.45,6010.6,2,sim,sim,cartao_credito,2,1,58.7,0
42,67,F,anual,dsl,74.88,5140.09,2,sim,sim,cartao_credito,3,2,173.9,0
39,52,M,bianual,fibra,90.03,4855.87,2,nao,nao,cartao_credito,1,1,30.6,0
63,71,F,anual,fibra,108.92,6944.88,2,nao,sim,cartao_credito,0,1,221.5,0
51,52,M,anual,dsl,91.44,4908.24,4,nao,sim,boleto,0,0,54.2,0
59,61,F,bianual,dsl,81.02,4450.03,2,nao,nao,boleto,1,2,118.4,0
45,65,M,bianual,fibra,117.44,7717.26,2,sim,sim,debito_automatico,0,0,61.7,0
21,71,M,bianual,dsl,102.28,6194.75,5,nao,nao,cartao_credito,0,1,10.1,0
18,43,M,anual,fibra,101.3,4168.8,2,nao,sim,boleto,0,1,223.4,0
20,52,M,mensal,dsl,46.77,2420.28,0,sim,sim,boleto,1,0,158.6,0
53,70,F,anual,fibra,94.27,6716.28,0,sim,sim,cartao_credito,0,0,66.9,0
49,28,F,anual,nenhuma,66.66,1900.5,6,sim,sim,cartao_credito,5,0,106.1,0
64,9,M,mensal,nenhuma,92.8,759.84,7,nao,nao,cartao_credito,0,2,47.0,0
73,64,F,bianual,dsl,81.36,5314.46,5,sim,sim,cartao_credito,0,0,41.9,0
28,46,M,bianual,nenhuma,29.54,1242.97,0,nao,sim,boleto,3,0,158.0,0
77,31,M,anual,fibra,124.56,3462.69,4,sim,nao,cartao_credito,0,1,143.2,0
75,52,F,anual,dsl,69.35,3066.33,2,sim,sim,boleto,0,0,269.4,0
56,3,F,mensal,fibra,98.6,265.37,2,sim,nao,boleto,1,3,146.6,1
50,35,F,anual,fibra,129.51,3960.3,7,sim,sim,boleto,3,0,103.8,1
28,20,M,anual,dsl,98.75,1945.35,6,nao,sim,cartao_credito,0,0,149.5,0
29,21,M,mensal,dsl,90.89,1677.66,5,nao,sim,boleto,1,1,113.4,1
19,70,F,bianual,dsl,95.89,6491.31,4,nao,sim,boleto,2,0,120.8,0
58,40,M,mensal,nenhuma,50.74,1776.5,4,nao,nao,debito_automatico,0,1,137.2,1
44,11,M,mensal,dsl,114.62,1249.33,7,sim,nao,cartao_credito,1,2,156.2,0
29,27,F,bianual,nenhuma,54.66,1338.73,5,nao,nao,cartao_credito,1,2,75.1,0
26,18,F,mensal,nenhuma,60.84,998.46,4,nao,sim,debito_automatico,0,0,8.1,0
21,66,M,mensal,dsl,37.1,2394.92,0,nao,sim,cartao_credito,1,1,78.3,0
57,21,M,anual,fibra,162.76,3547.12,7,nao,sim,cartao_credito,0,1,35.1,0
60,26,F,anual,dsl,101.87,2776.6,6,sim,sim,debito_automatico,2,1,183.3,0
57,25,M,mensal,dsl,48.64,1120.49,2,sim,sim,boleto,0,1,211.3,0
24,13,M,mensal,nenhuma,35.26,476.38,2,sim,sim,pix,0,0,37.5,1
